Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Chief of Staff,12 Paid,2458
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Placed Based Planner,12 Paid,2459
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Policy Analyst-A,12 Paid,2460
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Recovery Finance Deputy Director,12 Paid,2461
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2705
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2706
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Hospitalization (BCCPY),12 Paid,2707
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Life Insurance (LICPY),12 Paid,2708
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2709
Program Management & Monitoring,00-021,ILTR-00238,04-01-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communications (public service),12 Paid,2710
Program Management & Monitoring,00-021,ILTR-00238,03-29-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communications (public service),12 Paid,2711
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #1,12 Paid,2712
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #1,12 Paid,2713
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #3,12 Paid,2714
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #3-A,12 Paid,2715
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #2,12 Paid,2716
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Disaster-CDBG Program Manager,12 Paid,2717
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #2-A,12 Paid,2718
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #4,12 Paid,2719
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Administrative Assistant #1-A,12 Paid,2720
Program Management & Monitoring,00-021,ILTR-00238,04-16-2011,05-02-2011,05-13-2011,05-16-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,06-02-2011,06-02-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #5,12 Paid,2721
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2620
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2621
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Hospitalization (BCCPY),12 Paid,2622
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Life Insurance (LICPY),12 Paid,2623
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2624
Program Management & Monitoring,00-020,ILTR-00238,02-10-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communications (public service),12 Paid,2626
Program Management & Monitoring,00-020,ILTR-00238,03-10-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communications (public service),12 Paid,2627
Program Management & Monitoring,00-020,ILTR-00238,03-01-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communications (public service),12 Paid,2628
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #1,12 Paid,2629
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #1,12 Paid,2630
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #3,12 Paid,2631
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Administrative Assistant #1-A,12 Paid,2632
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Disaster-CDBG Program Manager,12 Paid,2633
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #2-A,12 Paid,2634
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Assistant #3-A,12 Paid,2635
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #4,12 Paid,2636
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #2,12 Paid,2637
Program Management & Monitoring,00-020,ILTR-00238,03-19-2011,04-04-2011,04-26-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-18-2011,05-19-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Project Manager #5,12 Paid,2638
Interim Nuisance Abatement/CNAP,00-029,ILTR-00054,04-11-2011,05-13-2011,06-22-2011,06-23-2011,06-24-2011,06-27-2011,06-28-2011,06-29-2011,07-07-2011,07-08-2011,07-18-2011,07-19-2011,05-16-2011,OCD,"Bridgestone Construction Co., Inc.",12 Paid,2937
Interim Nuisance Abatement/CNAP,00-029,ILTR-00054,04-11-2011,05-13-2011,06-22-2011,06-23-2011,06-24-2011,06-27-2011,06-28-2011,06-29-2011,07-07-2011,07-08-2011,07-18-2011,07-19-2011,05-16-2011,OCD,"Bridgestone Construction Co., Inc.",12 Paid,2938
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Community Services Adm. Assistant,12 Paid,518
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Community Services Project Assistant #2,12 Paid,519
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Community Services Project Assistant #3,12 Paid,520
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,521
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Workmen's Compensation (WCCPY),12 Paid,522
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Hospitalization (BCCPY),12 Paid,523
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Life Insurance (LICPY),12 Paid,524
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Unemployment Insurance (UCCPY),12 Paid,525
Community Services Staffing,00-012,ILTR-00045,10-31-2009,,12-21-2009,01-04-2010,01-06-2010,01-12-2010,01-13-2010,03-11-2010,,,06-23-2010,06-24-2010,06-24-2010,OCD,Community Services Project Assistant #1,12 Paid,517
Community Services Staffing,00-013,ILTR-00045,10-31-2009,07-05-2010,07-09-2010,07-12-2010,07-12-2010,07-27-2010,07-28-2010,07-28-2010,,,08-17-2010,08-18-2010,08-18-2010,OCD,Community Services Project Assistant #1,12 Paid,1007
VAMC Land Acquisition & Relocation - Relocation,00-363,ILTR-00122,01-31-2011,05-16-2011,05-16-2011,05-18-2011,05-18-2011,05-20-2011,05-23-2011,05-24-2011,05-24-2011,05-25-2011,06-22-2011,06-23-2011,06-24-2011,OCD,"Volkert & Associates, Inc.",12 Paid,2723
VAMC Land Acquisition & Relocation - Relocation,00-382,ILTR-00122,05-26-2011,05-26-2011,05-26-2011,05-31-2011,05-31-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-02-2011,06-22-2011,06-23-2011,06-24-2011,OCD,224 S. Tonti St. (Gayle Marie Ruth),12 Paid,2804
Lower Ninth Ward Land Acquisition,00-001,ILTR-00060,05-16-2011,05-20-2011,05-20-2011,05-20-2011,05-24-2011,05-25-2011,05-25-2011,05-26-2011,06-01-2011,06-01-2011,06-17-2011,06-20-2011,06-22-2011,CPA,"Just Title, LLC",12 Paid,2772
City Planning Commission Staffing,00-018,ILTR-00048,02-19-2011,02-19-2011,03-01-2011,03-04-2011,03-15-2011,03-21-2011,03-21-2011,03-22-2011,04-06-2011,04-07-2011,05-25-2011,05-26-2011,05-26-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2344
City Planning Commission Staffing,00-018,ILTR-00048,02-19-2011,02-19-2011,03-01-2011,03-04-2011,03-15-2011,03-21-2011,03-21-2011,03-22-2011,04-06-2011,04-07-2011,05-25-2011,05-26-2011,05-26-2011,OCD,Development Specialist #2,12 Paid,2345
City Planning Commission Staffing,00-018,ILTR-00048,02-19-2011,02-19-2011,03-01-2011,03-04-2011,03-15-2011,03-21-2011,03-21-2011,03-22-2011,04-06-2011,04-07-2011,05-25-2011,05-26-2011,05-26-2011,OCD,Development Specialist #3,12 Paid,2346
City Planning Commission Staffing,00-018,ILTR-00048,02-19-2011,02-19-2011,03-01-2011,03-04-2011,03-15-2011,03-21-2011,03-21-2011,03-22-2011,04-06-2011,04-07-2011,05-25-2011,05-26-2011,05-26-2011,OCD,Development Specialist #4,12 Paid,2347
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Computers & Software (admin),12 Paid,1393
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Miscellaneous,12 Paid,1409
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Policy Analyst,12 Paid,1816
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Policy Analyst-A,12 Paid,1817
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,1818
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Hospitalization (BCCPY),12 Paid,1819
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Life Insurance (LICPY),12 Paid,1820
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,1821
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,1822
Program Administrative Costs,00-020,ILTR-00046,05-12-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Blackberries/Communication (admin),12 Paid,1823
Program Administrative Costs,00-020,ILTR-00046,05-15-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Office Furniture (admin positions),12 Paid,1824
Program Administrative Costs,00-020,ILTR-00046,05-12-2010,,06-01-2010,12-20-2010,12-28-2010,12-31-2010,01-04-2011,01-07-2011,03-16-2011,03-24-2011,05-27-2011,05-31-2011,05-31-2011,OCD,Blackberries/Communication (admin),12 Paid,2090
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Policy Analyst-A,12 Paid,2099
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Accountant I (#1),12 Paid,2105
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Administrative Assistant,12 Paid,2111
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Accountant I (#2),12 Paid,2117
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Chief of Staff,12 Paid,2123
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2136
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Hospitalization (BCCPY),12 Paid,2142
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Life Insurance (LICPY),12 Paid,2148
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2154
Program Administrative Costs,00-022,ILTR-00046,07-24-2010,,08-01-2010,02-03-2011,02-07-2011,02-11-2011,02-14-2011,02-16-2011,03-16-2011,03-29-2011,06-02-2011,06-03-2011,06-03-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2160
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2583
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2584
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Hospitalization (BCCPY),12 Paid,2585
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Life Insurance (LICPY),12 Paid,2586
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2587
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Development Specialist #2,12 Paid,2588
City Planning Commission Staffing,00-019,ILTR-00048,03-19-2011,04-04-2011,04-19-2011,04-19-2011,04-20-2011,04-25-2011,04-26-2011,04-26-2011,04-27-2011,04-28-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Development Specialist #3,12 Paid,2589
Code Enforcement Staffing,00-029,ILTR-00040,03-19-2011,04-04-2011,04-19-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-26-2011,05-04-2011,05-04-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Code Enforcement Technology Specialist,12 Paid,2595
Code Enforcement Staffing,00-029,ILTR-00040,03-19-2011,04-04-2011,04-19-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-26-2011,05-04-2011,05-04-2011,06-13-2011,06-14-2011,06-14-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2596
Code Enforcement Staffing,00-029,ILTR-00040,03-19-2011,04-04-2011,04-19-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-26-2011,05-04-2011,05-04-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Hospitalization (BCCPY),12 Paid,2597
Code Enforcement Staffing,00-029,ILTR-00040,03-19-2011,04-04-2011,04-19-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-26-2011,05-04-2011,05-04-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2598
Code Enforcement Staffing,00-029,ILTR-00040,03-19-2011,04-04-2011,04-19-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-26-2011,05-04-2011,05-04-2011,06-13-2011,06-14-2011,06-14-2011,OCD,Life Insurance (LICPY),12 Paid,2599
City Planning Commission Staffing,00-020,ILTR-00048,04-16-2011,05-02-2011,05-12-2011,05-13-2011,05-18-2011,05-18-2011,05-19-2011,05-20-2011,05-31-2011,06-01-2011,06-17-2011,06-20-2011,06-20-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2693
City Planning Commission Staffing,00-020,ILTR-00048,04-16-2011,05-02-2011,05-12-2011,05-13-2011,05-18-2011,05-18-2011,05-19-2011,05-20-2011,05-31-2011,06-01-2011,06-17-2011,06-20-2011,06-20-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2694
City Planning Commission Staffing,00-020,ILTR-00048,04-16-2011,05-02-2011,05-12-2011,05-13-2011,05-18-2011,05-18-2011,05-19-2011,05-20-2011,05-31-2011,06-01-2011,06-17-2011,06-20-2011,06-20-2011,OCD,Hospitalization (BCCPY),12 Paid,2695
City Planning Commission Staffing,00-020,ILTR-00048,04-16-2011,05-02-2011,05-12-2011,05-13-2011,05-18-2011,05-18-2011,05-19-2011,05-20-2011,05-31-2011,06-01-2011,06-17-2011,06-20-2011,06-20-2011,OCD,Life Insurance (LICPY),12 Paid,2696
City Planning Commission Staffing,00-020,ILTR-00048,04-16-2011,05-02-2011,05-12-2011,05-13-2011,05-18-2011,05-18-2011,05-19-2011,05-20-2011,05-31-2011,06-01-2011,06-17-2011,06-20-2011,06-20-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2697
