Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Vienna (Corinne - Nighthart),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-15-2016,05-06-2016,04-15-2016,05-18-2016,05-19-2016,05-20-2016,05-20-2016,06-03-2016,06-03-2016,19995,"$69,105.02"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-25-2015,04-05-2016,04-14-2016,04-15-2016,05-04-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,18977,"$4,166.6"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-22-2015,04-05-2016,04-14-2016,04-15-2016,05-04-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19118,"$2,245.6"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-22-2016,04-05-2016,04-14-2016,04-14-2016,05-04-2016,05-05-2016,05-05-2016,05-06-2016,05-06-2016,19441,"$2,589.05"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-13-2016,04-05-2016,04-14-2016,04-14-2016,05-05-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19719,$383.35
Camp St. (Louisiana - Washington Ave),Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-29-2016,04-13-2016,04-14-2016,04-19-2016,04-20-2016,04-20-2016,05-06-2016,05-06-2016,19699,"$16,608"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-25-2016,04-13-2016,04-13-2016,04-26-2016,05-09-2016,05-10-2016,05-10-2016,05-11-2016,05-11-2016,19711,"$31,940"
"Homedale (Canal - West End), Center (33rd - Tacoma), Milne (Homedale - Florida), Walker (Marshal-Orl",Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-30-2016,04-13-2016,04-14-2016,04-19-2016,04-20-2016,04-20-2016,05-06-2016,05-06-2016,19712,"$22,873.98"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-28-2016,04-15-2016,04-12-2016,04-12-2016,04-26-2016,04-27-2016,04-27-2016,04-28-2016,04-28-2016,19697,"$578,212.13"
Citywide Sign Replacement,Custom Products Corp,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-08-2016,04-08-2016,04-11-2016,04-11-2016,04-13-2016,04-14-2016,04-14-2016,04-15-2016,04-15-2016,19689,"$7,079.74"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-02-2016,04-05-2016,04-11-2016,04-11-2016,04-13-2016,04-14-2016,04-14-2016,04-15-2016,04-15-2016,19690,"$25,246"
Gravier St (Galvez - Broad),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-19-2016,03-29-2016,04-08-2016,04-08-2016,04-13-2016,04-14-2016,04-14-2016,04-15-2016,04-15-2016,19684,$387.75
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-18-2016,04-07-2016,04-08-2016,04-15-2016,04-19-2016,04-19-2016,04-21-2016,04-21-2016,19679,"$221,466.82"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,04-05-2016,04-06-2016,04-06-2016,04-18-2016,04-18-2016,04-18-2016,04-22-2016,04-22-2016,19508,"$190,908.86"
N. Galvez St (Tennessee St  - Delery St),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-24-2016,03-31-2016,04-06-2016,04-06-2016,04-11-2016,04-12-2016,04-12-2016,04-14-2016,04-14-2016,19660,"$4,550.65"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-02-2016,03-31-2016,04-06-2016,04-06-2016,04-11-2016,04-12-2016,04-12-2016,04-14-2016,04-14-2016,19661,$197
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,03-31-2016,04-06-2016,04-06-2016,04-08-2016,04-11-2016,04-11-2016,04-19-2016,04-19-2016,19662,"$18,107.91"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-29-2016,04-04-2016,04-06-2016,04-11-2016,04-20-2016,04-20-2016,04-20-2016,04-22-2016,04-22-2016,19664,"$29,660.11"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-29-2016,04-04-2016,04-06-2016,04-11-2016,04-20-2016,04-20-2016,04-20-2016,04-22-2016,04-22-2016,19665,"$49,553.94"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2016,03-31-2016,04-04-2016,04-07-2016,05-03-2016,05-03-2016,05-03-2016,05-04-2016,05-04-2016,19655,"$14,016.87"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,03-31-2016,04-04-2016,04-07-2016,04-29-2016,05-03-2016,05-03-2016,05-04-2016,05-04-2016,19656,"$80,640.27"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,05-04-2016,04-04-2016,05-04-2016,05-04-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19657,"$13,466.25"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2015,03-31-2016,04-04-2016,04-07-2016,04-13-2016,04-14-2016,04-14-2016,04-19-2016,04-19-2016,19658,"$19,821.38"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-22-2016,04-29-2016,04-04-2016,05-04-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19881,$569.93
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2015,03-31-2016,03-31-2016,04-01-2016,04-12-2016,04-19-2016,04-19-2016,04-21-2016,04-21-2016,19632,"$157,447.68"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-24-2015,03-29-2016,03-30-2016,03-30-2016,04-05-2016,04-05-2016,04-05-2016,04-14-2016,04-14-2016,19487,"$93,005.89"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)","APS Design & Testing, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-29-2016,03-22-2016,03-30-2016,03-30-2016,03-08-2016,04-01-2016,04-01-2016,04-07-2016,04-07-2016,19629,"$5,905.7"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)",Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-29-2016,03-29-2016,03-30-2016,03-30-2016,04-05-2016,04-06-2016,04-06-2016,04-07-2016,04-07-2016,19630,"$12,514.05"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-22-2016,03-22-2016,03-29-2016,03-30-2016,04-07-2016,04-07-2016,04-07-2016,04-18-2016,04-18-2016,19597,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-22-2016,03-29-2016,03-30-2016,04-11-2016,04-11-2016,04-11-2016,04-18-2016,04-18-2016,19598,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,03-22-2016,03-29-2016,03-30-2016,04-11-2016,04-11-2016,04-11-2016,04-18-2016,04-18-2016,19599,"$29,004.48"
N. Galvez St (Tennessee St  - Delery St),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-01-2016,03-29-2016,03-29-2016,04-05-2016,04-06-2016,04-06-2016,04-07-2016,04-07-2016,19613,"$635,873.89"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-23-2016,03-22-2016,03-24-2016,03-28-2016,04-05-2016,04-05-2016,04-05-2016,04-14-2016,04-14-2016,19573,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-22-2016,03-24-2016,03-28-2016,04-05-2016,04-05-2016,04-05-2016,04-14-2016,04-14-2016,19574,"$1,058.8"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-22-2016,03-24-2016,03-28-2016,04-05-2016,04-05-2016,04-05-2016,04-14-2016,04-14-2016,19575,"$1,924.02"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-22-2016,03-24-2016,03-28-2016,04-07-2016,04-07-2016,04-07-2016,04-18-2016,04-18-2016,19576,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-16-2016,03-22-2016,03-24-2016,03-28-2016,04-07-2016,04-07-2016,04-07-2016,04-18-2016,04-18-2016,19577,$529.4
Huntlee Dr. (General  DeGaulle - Berkley Dr),Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-16-2016,03-16-2016,03-24-2016,03-28-2016,04-07-2016,04-11-2016,04-11-2016,04-14-2016,04-14-2016,19580,"$23,162.9"
Huntlee Dr. (General  DeGaulle - Berkley Dr),Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-17-2016,03-17-2016,03-24-2016,03-28-2016,04-07-2016,04-21-2016,04-21-2016,04-28-2016,04-28-2016,19581,"$61,841.54"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-10-2016,03-23-2016,03-24-2016,04-08-2016,04-11-2016,04-11-2016,04-14-2016,04-14-2016,19578,"$172,363.8"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-11-2016,03-23-2016,03-24-2016,04-08-2016,04-12-2016,04-12-2016,04-18-2016,04-18-2016,19579,"$210,000"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-12-2016,03-17-2016,03-22-2016,03-23-2016,03-30-2016,03-31-2016,03-31-2016,04-07-2016,04-07-2016,19563,"$21,700.25"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-20-2016,03-11-2016,03-18-2016,03-21-2016,03-30-2016,03-31-2016,03-31-2016,04-07-2016,04-07-2016,19552,$80.76
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-27-2016,03-11-2016,03-18-2016,03-21-2016,04-13-2016,04-14-2016,04-14-2016,04-19-2016,04-19-2016,19553,$793.14
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,03-15-2016,03-18-2016,03-21-2016,04-06-2016,04-06-2016,04-06-2016,04-12-2016,04-12-2016,19556,"$566,118.73"
Vienna (Corinne - Nighthart),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-15-2016,03-18-2016,03-21-2016,04-15-2016,04-19-2016,04-18-2016,04-25-2016,04-25-2016,19557,"$170,148.89"
Isaac Drain Point Repair,Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-09-2016,03-17-2016,03-17-2016,03-17-2016,03-22-2016,03-22-2016,03-22-2016,03-24-2016,03-24-2016,19540,"$1,201.58"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Stratum Engineering, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-16-2016,03-17-2016,03-17-2016,03-17-2016,03-22-2016,03-23-2016,03-23-2016,03-31-2016,03-31-2016,19541,"$3,853.27"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-29-2015,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19501,"$29,312.72"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-27-2015,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-31-2016,03-31-2016,19502,"$16,231.7"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-24-2015,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19503,"$9,346.58"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19504,"$34,763.35"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19505,"$39,859.63"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-04-2016,03-16-2016,03-17-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19506,"$22,397.68"
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-14-2016,03-14-2016,03-22-2016,03-24-2016,03-24-2016,04-01-2016,04-01-2016,19527,"$18,107.91"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,02-25-2016,03-14-2016,03-15-2016,03-21-2016,03-23-2016,03-23-2016,03-24-2016,03-24-2016,19528,$781.75
N. Galvez St (Tennessee St  - Delery St),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,02-25-2016,03-14-2016,03-14-2016,03-22-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19529,"$4,993.4"
Gravier St (Galvez - Broad),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-20-2016,03-01-2016,03-10-2016,03-11-2016,03-18-2016,03-23-2016,03-23-2016,03-31-2016,03-31-2016,19513,"$2,361.25"
Recovery Program - Lakeview Quadrant 1,"CDM Smith, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-29-2015,03-07-2016,03-09-2016,03-30-2016,04-20-2016,04-20-2016,04-20-2016,04-22-2016,04-22-2016,18502,"$19,697.46"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2015,03-04-2016,03-08-2016,03-09-2016,03-23-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,19125,"$49,325.43"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-05-2016,03-07-2016,03-08-2016,03-09-2016,03-24-2016,03-24-2016,03-24-2016,04-12-2016,04-12-2016,19486,$682.59
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-27-2016,03-07-2016,03-07-2016,03-08-2016,03-10-2016,03-10-2016,03-10-2016,03-22-2016,03-22-2016,19464,"$68,887.24"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-22-2016,02-29-2016,03-04-2016,03-07-2016,03-15-2016,03-15-2016,03-15-2016,03-22-2016,03-22-2016,19456,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-18-2016,02-29-2016,03-04-2016,03-07-2016,03-15-2016,03-15-2016,03-15-2016,03-22-2016,03-22-2016,19457,$682.59
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-18-2016,02-29-2016,03-04-2016,03-07-2016,03-15-2016,03-15-2016,03-15-2016,03-22-2016,03-22-2016,19458,"$1,297.83"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-17-2016,02-29-2016,03-04-2016,03-07-2016,03-15-2016,03-15-2016,03-15-2016,03-22-2016,03-22-2016,19459,$506.3
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-18-2016,02-02-2016,03-04-2016,03-07-2016,03-15-2016,03-15-2016,03-15-2016,03-22-2016,03-22-2016,19460,"$12,154.74"
